Charm++> Running on Gemini (GNI) with 45 processes
Charm++> static SMSG
Charm++> SMSG memory: 222.2KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 45,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 4 5 6 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 7 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 44
EXCHANGE_ACCEPT 16 (19) 17 (15) RUN 32
EXCHANGE_ACCEPT 7 (7) 8 (8) RUN 33
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 33
EXCHANGE_ACCEPT 39 (38) 40 (37) RUN 33
EXCHANGE_ACCEPT 8 (7) 9 (9) RUN 34
EXCHANGE_ACCEPT 16 (15) 17 (19) RUN 34
EXCHANGE_ACCEPT 21 (23) 22 (21) RUN 35
EXCHANGE_ACCEPT 17 (15) 18 (16) RUN 35
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 35
EXCHANGE_ACCEPT 37 (40) 38 (36) RUN 35
EXCHANGE_ACCEPT 10 (10) 11 (12) RUN 36
EXCHANGE_ACCEPT 22 (23) 23 (25) RUN 36
EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 36
EXCHANGE_ACCEPT 16 (19) 17 (16) RUN 36
EXCHANGE_ACCEPT 30 (31) 31 (28) RUN 36
EXCHANGE_ACCEPT 5 (5) 6 (4) RUN 37
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 37
EXCHANGE_ACCEPT 41 (41) 42 (42) RUN 37
EXCHANGE_ACCEPT 17 (19) 18 (15) RUN 37
EXCHANGE_ACCEPT 19 (18) 20 (21) RUN 37
EXCHANGE_ACCEPT 10 (12) 11 (10) RUN 38
EXCHANGE_ACCEPT 16 (16) 17 (15) RUN 38
EXCHANGE_ACCEPT 22 (25) 23 (23) RUN 38
EXCHANGE_ACCEPT 26 (27) 27 (26) RUN 38
EXCHANGE_ACCEPT 11 (12) 12 (11) RUN 39
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 39
EXCHANGE_ACCEPT 6 (5) 7 (8) RUN 40
EXCHANGE_ACCEPT 8 (9) 9 (7) RUN 40
EXCHANGE_ACCEPT 16 (15) 17 (16) RUN 40
EXCHANGE_ACCEPT 40 (38) 41 (42) RUN 40
EXCHANGE_ACCEPT 20 (18) 21 (20) RUN 40
EXCHANGE_ACCEPT 26 (26) 27 (27) RUN 40
EXCHANGE_ACCEPT 42 (41) 43 (44) RUN 40
EXCHANGE_ACCEPT 36 (35) 37 (36) RUN 40
EXCHANGE_ACCEPT 38 (40) 39 (37) RUN 40
EXCHANGE_ACCEPT 9 (9) 10 (10) RUN 41
EXCHANGE_ACCEPT 43 (41) 44 (43) RUN 41
EXCHANGE_ACCEPT 29 (30) 30 (28) RUN 41
EXCHANGE_ACCEPT 16 (16) 17 (15) RUN 42
EXCHANGE_ACCEPT 20 (20) 21 (18) RUN 42
EXCHANGE_ACCEPT 42 (44) 43 (43) RUN 42
EXCHANGE_ACCEPT 9 (10) 10 (9) RUN 43
EXCHANGE_ACCEPT 5 (4) 6 (8) RUN 43
EXCHANGE_ACCEPT 11 (11) 12 (12) RUN 43
EXCHANGE_ACCEPT 23 (25) 24 (22) RUN 43
EXCHANGE_ACCEPT 43 (44) 44 (41) RUN 43
EXCHANGE_ACCEPT 10 (10) 11 (12) RUN 44
EXCHANGE_ACCEPT 16 (15) 17 (16) RUN 44
EXCHANGE_ACCEPT 42 (43) 43 (41) RUN 44
EXCHANGE_ACCEPT 40 (42) 41 (38) RUN 44
EXCHANGE_ACCEPT 36 (36) 37 (35) RUN 44
EXCHANGE_ACCEPT 19 (21) 20 (18) RUN 45
EXCHANGE_ACCEPT 27 (26) 28 (29) RUN 45
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 45
EXCHANGE_ACCEPT 39 (40) 40 (38) RUN 45
EXCHANGE_ACCEPT 16 (16) 17 (15) RUN 46
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 46
EXCHANGE_ACCEPT 26 (27) 27 (29) RUN 46
EXCHANGE_ACCEPT 36 (35) 37 (36) RUN 46
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 47
EXCHANGE_ACCEPT 39 (38) 40 (40) RUN 47
EXCHANGE_ACCEPT 16 (15) 17 (16) RUN 48
EXCHANGE_ACCEPT 40 (38) 41 (42) RUN 48
EXCHANGE_ACCEPT 18 (19) 19 (18) RUN 48
EXCHANGE_ACCEPT 32 (33) 33 (32) RUN 48
EXCHANGE_ACCEPT 23 (22) 24 (25) RUN 49
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 49
EXCHANGE_ACCEPT 10 (12) 11 (10) RUN 50
EXCHANGE_ACCEPT 22 (23) 23 (25) RUN 50
EXCHANGE_ACCEPT 40 (42) 41 (38) RUN 50
EXCHANGE_ACCEPT 42 (41) 43 (44) RUN 50
EXCHANGE_ACCEPT 16 (16) 17 (15) RUN 50
EXCHANGE_ACCEPT 38 (37) 39 (40) RUN 50
EXCHANGE_ACCEPT 9 (9) 10 (10) RUN 51
EXCHANGE_ACCEPT 43 (41) 44 (43) RUN 51
EXCHANGE_ACCEPT 17 (16) 18 (18) RUN 51
EXCHANGE_ACCEPT 39 (37) 40 (38) RUN 51
EXCHANGE_ACCEPT 14 (14) 15 (17) RUN 52
EXCHANGE_ACCEPT 16 (15) 17 (18) RUN 52
EXCHANGE_ACCEPT 38 (40) 39 (38) RUN 52
EXCHANGE_ACCEPT 9 (10) 10 (9) RUN 53
EXCHANGE_ACCEPT 43 (43) 44 (41) RUN 53
EXCHANGE_ACCEPT 17 (15) 18 (16) RUN 53
EXCHANGE_ACCEPT 41 (42) 42 (44) RUN 53
EXCHANGE_ACCEPT 15 (14) 16 (18) RUN 53
EXCHANGE_ACCEPT 35 (39) 36 (36) RUN 53
EXCHANGE_ACCEPT 16 (14) 17 (16) RUN 54
EXCHANGE_ACCEPT 18 (15) 19 (19) RUN 54
EXCHANGE_ACCEPT 14 (17) 15 (18) RUN 54
EXCHANGE_ACCEPT 40 (37) 41 (44) RUN 54
EXCHANGE_ACCEPT 5 (8) 6 (4) RUN 55
EXCHANGE_ACCEPT 43 (41) 44 (43) RUN 55
EXCHANGE_ACCEPT 16 (16) 17 (14) RUN 56
EXCHANGE_ACCEPT 18 (19) 19 (15) RUN 56
EXCHANGE_ACCEPT 40 (44) 41 (37) RUN 56
EXCHANGE_ACCEPT 27 (27) 28 (26) RUN 57
EXCHANGE_ACCEPT 43 (43) 44 (41) RUN 57
EXCHANGE_ACCEPT 39 (40) 40 (37) RUN 57
EXCHANGE_ACCEPT 16 (14) 17 (16) RUN 58
EXCHANGE_ACCEPT 42 (42) 43 (41) RUN 58EXCHANGE_ACCEPT 18 (15) 19 (19) RUN 58

EXCHANGE_ACCEPT 19 (15) 20 (20) RUN 59
EXCHANGE_ACCEPT 43 (42) 44 (43) RUN 59
EXCHANGE_ACCEPT 39 (37) 40 (40) RUN 59
EXCHANGE_ACCEPT 41 (44) 42 (41) RUN 59
EXCHANGE_ACCEPT 8 (7) 9 (9) RUN 60
EXCHANGE_ACCEPT 22 (25) 23 (23) RUN 60
EXCHANGE_ACCEPT 16 (16) 17 (14) RUN 60
EXCHANGE_ACCEPT 30 (30) 31 (31) RUN 60
EXCHANGE_ACCEPT 43 (43) 44 (42) RUN 61
EXCHANGE_ACCEPT 41 (41) 42 (44) RUN 61
EXCHANGE_ACCEPT 16 (14) 17 (16) RUN 62
EXCHANGE_ACCEPT 9 (7) 10 (10) RUN 63
EXCHANGE_ACCEPT 19 (20) 20 (15) RUN 63
EXCHANGE_ACCEPT 43 (42) 44 (43) RUN 63
EXCHANGE_ACCEPT 41 (44) 42 (41) RUN 63
EXCHANGE_ACCEPT 35 (36) 36 (39) RUN 63
EXCHANGE_ACCEPT 6 (8) 7 (5) RUN 64
EXCHANGE_ACCEPT 26 (29) 27 (26) RUN 64
EXCHANGE_ACCEPT 16 (16) 17 (14) RUN 64
EXCHANGE_ACCEPT 38 (38) 39 (40) RUN 64
EXCHANGE_ACCEPT 18 (19) 19 (15) RUN 64
EXCHANGE_ACCEPT 27 (29) 28 (27) RUN 65
EXCHANGE_ACCEPT 43 (43) 44 (42) RUN 65
EXCHANGE_ACCEPT 25 (24) 26 (26) RUN 65
EXCHANGE_ACCEPT 16 (14) 17 (16) RUN 66
EXCHANGE_ACCEPT 42 (44) 43 (42) RUN 66
EXCHANGE_ACCEPT 10 (7) 11 (12) RUN 66
EXCHANGE_ACCEPT 18 (15) 19 (19) RUN 66
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 67
EXCHANGE_ACCEPT 11 (7) 12 (11) RUN 67
EXCHANGE_ACCEPT 22 (23) 23 (25) RUN 68
EXCHANGE_ACCEPT 6 (5) 7 (8) RUN 68
EXCHANGE_ACCEPT 42 (42) 43 (43) RUN 68
EXCHANGE_ACCEPT 4 (3) 5 (4) RUN 68EXCHANGE_ACCEPT 8 (9) 9 (10) RUN 68

EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 68
EXCHANGE_ACCEPT 16 (16) 17 (14) RUN 68
EXCHANGE_ACCEPT 36 (36) 37 (35) RUN 68
EXCHANGE_ACCEPT 12 (7) 13 (13) RUN 68
EXCHANGE_ACCEPT 43 (42) 44 (44) RUN 69
EXCHANGE_ACCEPT 39 (38) 40 (37) RUN 69
EXCHANGE_ACCEPT 4 (4) 5 (3) RUN 70
EXCHANGE_ACCEPT 8 (10) 9 (9) RUN 70
EXCHANGE_ACCEPT 16 (14) 17 (16) RUN 70
EXCHANGE_ACCEPT 28 (29) 29 (28) RUN 70
EXCHANGE_ACCEPT 32 (32) 33 (33) RUN 70
EXCHANGE_ACCEPT 12 (13) 13 (7) RUN 70
EXCHANGE_ACCEPT 43 (44) 44 (42) RUN 71
EXCHANGE_ACCEPT 39 (37) 40 (38) RUN 71EXCHANGE_ACCEPT 27 (27) 28 (28) RUN 71

EXCHANGE_ACCEPT 42 (43) 43 (42) RUN 72
EXCHANGE_ACCEPT 8 (9) 9 (10) RUN 72
EXCHANGE_ACCEPT 36 (35) 37 (36) RUN 72
EXCHANGE_ACCEPT 40 (37) 41 (41) RUN 72
EXCHANGE_ACCEPT 16 (16) 17 (14) RUN 72
EXCHANGE_ACCEPT 18 (19) 19 (15) RUN 72
EXCHANGE_ACCEPT 23 (23) 24 (22) RUN 73
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 73
EXCHANGE_ACCEPT 17 (16) 18 (15) RUN 73
EXCHANGE_ACCEPT 4 (3) 5 (4) RUN 74
EXCHANGE_ACCEPT 8 (10) 9 (9) RUN 74
EXCHANGE_ACCEPT 40 (41) 41 (37) RUN 74
EXCHANGE_ACCEPT 16 (14) 17 (15) RUN 74
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 75
EXCHANGE_ACCEPT 11 (11) 12 (7) RUN 75
EXCHANGE_ACCEPT 6 (8) 7 (5) RUN 76
EXCHANGE_ACCEPT 30 (31) 31 (30) RUN 76
EXCHANGE_ACCEPT 16 (15) 17 (14) RUN 76
EXCHANGE_ACCEPT 25 (26) 26 (24) RUN 77
EXCHANGE_ACCEPT 27 (28) 28 (27) RUN 77
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 77
EXCHANGE_ACCEPT 41 (41) 42 (42) RUN 77
EXCHANGE_ACCEPT 9 (10) 10 (12) RUN 77
EXCHANGE_ACCEPT 17 (15) 18 (16) RUN 77
EXCHANGE_ACCEPT 34 (34) 35 (39) RUN 78
EXCHANGE_ACCEPT 30 (30) 31 (31) RUN 78
EXCHANGE_ACCEPT 16 (14) 17 (16) RUN 78
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 79
EXCHANGE_ACCEPT 39 (38) 40 (37) RUN 79
EXCHANGE_ACCEPT 4 (4) 5 (3) RUN 80
EXCHANGE_ACCEPT 16 (16) 17 (14) RUN 80
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 80
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 81
EXCHANGE_ACCEPT 29 (29) 30 (31) RUN 81
EXCHANGE_ACCEPT 36 (36) 37 (35) RUN 82
EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 82
EXCHANGE_ACCEPT 16 (14) 17 (16) RUN 82
EXCHANGE_ACCEPT 41 (42) 42 (41) RUN 83
